"game_id","team","opponent","points_for","points_against","home","winner","win","offensive_epa","success_rate","explosive_rate","yards_per_play","pass_rate","rush_rate","red_zone_td_rate","turnovers","fourth_down_attempts","third_down_conv_rate","fourth_down_conv_rate"
"2022_07_CLE_BAL","CLE","BAL",20,23,0,"BAL",0,0.0146573547355965,0.447368421052632,0.0921052631578947,4.42105263157895,0.421052631578947,0.315789473684211,0.0263157894736842,2,1,0.181818181818182,1
"2022_07_DET_DAL","DET","DAL",6,24,0,"DAL",0,-0.290847251433459,0.416666666666667,0.0694444444444444,4.3943661971831,0.436619718309859,0.352112676056338,0,5,0,0.333333333333333,NA
"2022_07_GB_WAS","GB","WAS",21,23,0,"WAS",0,-0.0578046549221555,0.371428571428571,0.028169014084507,3.36231884057971,0.507246376811594,0.173913043478261,0.0140845070422535,0,1,0,0
"2022_07_HOU_LV","HOU","LV",20,38,0,"LV",0,-0.00442042303761411,0.4375,0.1,5.11392405063291,0.531645569620253,0.291139240506329,0.0125,1,2,0.6,0.5
"2022_07_IND_TEN","IND","TEN",10,19,0,"TEN",0,-0.22169657435901,0.435897435897436,0.0384615384615385,3.74358974358974,0.602564102564103,0.217948717948718,0.0128205128205128,3,1,0.307692307692308,1
"2022_07_KC_SF","KC","SF",44,23,0,"KC",1,0.376774141454116,0.556962025316456,0.125,6.87012987012987,0.480519480519481,0.272727272727273,0.05,1,0,0.666666666666667,NA
"2022_07_NO_ARI","NO","ARI",34,42,0,"ARI",0,0.0233913657464393,0.5,0.0869565217391304,5.42857142857143,0.538461538461538,0.241758241758242,0.0326086956521739,3,1,0.461538461538462,1
"2022_07_NYG_JAX","NYG","JAX",23,17,0,"NYG",1,0.157094956231459,0.51685393258427,0.112359550561798,4.89887640449438,0.348314606741573,0.438202247191011,0.0112359550561798,0,1,0.5,0
"2022_07_NYJ_DEN","NYJ","DEN",16,9,0,"NYJ",1,-0.0727164042272458,0.354430379746835,0.05,3.37662337662338,0.376623376623377,0.311688311688312,0,0,0,0.214285714285714,NA
"2022_07_PIT_MIA","PIT","MIA",10,16,0,"MIA",0,-0.126883745589773,0.377777777777778,0.0555555555555556,3.875,0.522727272727273,0.261363636363636,0.0111111111111111,3,2,0.285714285714286,1
"2022_07_SEA_LAC","SEA","LAC",37,23,0,"SEA",1,0.119568322126992,0.488095238095238,0.117647058823529,4.80952380952381,0.345238095238095,0.404761904761905,0.0235294117647059,2,0,0.555555555555556,NA
"2022_07_TB_CAR","TB","CAR",3,21,0,"CAR",0,-0.141696277379041,0.378048780487805,0.0481927710843374,4.025,0.625,0.2,0,0,3,0.166666666666667,0.333333333333333
"2022_08_ARI_MIN","ARI","MIN",26,34,0,"MIN",0,-0.0313931634834551,0.463157894736842,0.0416666666666667,4.03225806451613,0.526881720430108,0.236559139784946,0.0208333333333333,2,1,0.363636363636364,0
"2022_08_BAL_TB","BAL","TB",27,22,0,"BAL",1,0.159564736817,0.516129032258065,0.106382978723404,4.92391304347826,0.445652173913043,0.358695652173913,0.0319148936170213,1,1,0.461538461538462,0
"2022_08_CAR_ATL","CAR","ATL",34,37,0,"ATL",0,0.00385365983756285,0.404040404040404,0.101010101010101,4.94845360824742,0.381443298969072,0.381443298969072,0.0303030303030303,1,2,0.384615384615385,0.5
"2022_08_CHI_DAL","CHI","DAL",29,49,0,"DAL",0,0.019486471701586,0.397959183673469,0.112244897959184,3.86458333333333,0.3125,0.447916666666667,0.0408163265306122,1,3,0.4,0.666666666666667
"2022_08_CIN_CLE","CIN","CLE",13,32,0,"CLE",0,-0.185223344682592,0.417910447761194,0.0447761194029851,3.52307692307692,0.615384615384615,0.153846153846154,0.0149253731343284,2,1,0.4,0
"2022_08_DEN_JAX","DEN","JAX",21,17,0,"DEN",1,0.0172200488252244,0.454545454545455,0.0641025641025641,4.2987012987013,0.428571428571429,0.363636363636364,0.0384615384615385,1,3,0.181818181818182,0.666666666666667
"2022_08_GB_BUF","GB","BUF",17,27,0,"BUF",0,-0.0159521058877306,0.443037974683544,0.113924050632911,5.1025641025641,0.41025641025641,0.397435897435897,0.0126582278481013,1,2,0.5,0
"2022_08_LV_NO","LV","NO",0,24,0,"NO",0,-0.313733169188102,0.277777777777778,0.0136986301369863,2.61428571428571,0.614285714285714,0.185714285714286,0,1,3,0.357142857142857,0.666666666666667
"2022_08_MIA_DET","MIA","DET",31,27,0,"MIA",1,0.236622263145545,0.468354430379747,0.1125,6.0253164556962,0.481012658227848,0.329113924050633,0.0375,1,1,0.666666666666667,1
"2022_08_NE_NYJ","NE","NYJ",22,17,0,"NE",1,-0.0511066459630793,0.41304347826087,0.0645161290322581,3.1304347826087,0.445652173913043,0.369565217391304,0.010752688172043,1,2,0.315789473684211,0.5
"2022_08_NYG_SEA","NYG","SEA",13,27,0,"SEA",0,-0.0816336232762363,0.333333333333333,0.0470588235294118,2.71084337349398,0.433734939759036,0.337349397590361,0.0117647058823529,0,1,0.375,0
"2022_08_PIT_PHI","PIT","PHI",13,35,0,"PHI",0,-0.0436431023633073,0.414893617021277,0.0957446808510638,3.24731182795699,0.494623655913978,0.258064516129032,0.0106382978723404,2,4,0.0833333333333333,1
"2022_08_SF_LA","SF","LA",31,14,0,"SF",1,0.263337473760463,0.537313432835821,0.104477611940299,5.66153846153846,0.446153846153846,0.353846153846154,0.0447761194029851,0,0,0.555555555555556,NA
"2022_08_TEN_HOU","TEN","HOU",17,10,0,"TEN",1,-0.0667212318858753,0.441558441558442,0.128205128205128,4.72,0.173333333333333,0.6,0.0128205128205128,1,1,0.333333333333333,1
"2022_08_WAS_IND","WAS","IND",17,16,0,"WAS",1,-0.0614496738578421,0.453333333333333,0.0666666666666667,4.82666666666667,0.44,0.373333333333333,0.0266666666666667,1,3,0.166666666666667,0.666666666666667
