"game_id","season","week","game_date","home_team","away_team","home_score","away_score","winner","win_location"
"2021_01_DAL_TB",2021,1,"2021-09-09","TB","DAL",31,29,"TB","home"
"2021_01_DEN_NYG",2021,1,"2021-09-12","NYG","DEN",13,27,"DEN","away"
"2021_01_GB_NO",2021,1,"2021-09-12","NO","GB",38,3,"NO","home"
"2021_01_JAX_HOU",2021,1,"2021-09-12","HOU","JAX",37,21,"HOU","home"
"2021_01_LAC_WAS",2021,1,"2021-09-12","WAS","LAC",16,20,"LAC","away"
"2021_01_MIA_NE",2021,1,"2021-09-12","NE","MIA",16,17,"MIA","away"
"2021_01_MIN_CIN",2021,1,"2021-09-12","CIN","MIN",27,24,"CIN","home"
"2021_01_NYJ_CAR",2021,1,"2021-09-12","CAR","NYJ",19,14,"CAR","home"
"2021_01_PHI_ATL",2021,1,"2021-09-12","ATL","PHI",6,32,"PHI","away"
"2021_01_PIT_BUF",2021,1,"2021-09-12","BUF","PIT",16,23,"PIT","away"
"2021_01_SEA_IND",2021,1,"2021-09-12","IND","SEA",16,28,"SEA","away"
"2021_01_SF_DET",2021,1,"2021-09-12","DET","SF",33,41,"SF","away"
"2021_02_ATL_TB",2021,2,"2021-09-19","TB","ATL",48,25,"TB","home"
"2021_02_BUF_MIA",2021,2,"2021-09-19","MIA","BUF",0,35,"BUF","away"
"2021_02_CIN_CHI",2021,2,"2021-09-19","CHI","CIN",20,17,"CHI","home"
"2021_02_DAL_LAC",2021,2,"2021-09-19","LAC","DAL",17,20,"DAL","away"
"2021_02_DEN_JAX",2021,2,"2021-09-19","JAX","DEN",13,23,"DEN","away"
"2021_02_DET_GB",2021,2,"2021-09-20","GB","DET",35,17,"GB","home"
"2021_02_HOU_CLE",2021,2,"2021-09-19","CLE","HOU",31,21,"CLE","home"
"2021_02_KC_BAL",2021,2,"2021-09-19","BAL","KC",36,35,"BAL","home"
"2021_02_LA_IND",2021,2,"2021-09-19","IND","LA",24,27,"LA","away"
"2021_02_LV_PIT",2021,2,"2021-09-19","PIT","LV",17,26,"LV","away"
"2021_02_MIN_ARI",2021,2,"2021-09-19","ARI","MIN",34,33,"ARI","home"
"2021_02_NE_NYJ",2021,2,"2021-09-19","NYJ","NE",6,25,"NE","away"
"2021_02_NO_CAR",2021,2,"2021-09-19","CAR","NO",26,7,"CAR","home"
"2021_02_NYG_WAS",2021,2,"2021-09-16","WAS","NYG",30,29,"WAS","home"
"2021_02_SF_PHI",2021,2,"2021-09-19","PHI","SF",11,17,"SF","away"
"2021_02_TEN_SEA",2021,2,"2021-09-19","SEA","TEN",30,33,"TEN","away"
"2021_03_ARI_JAX",2021,3,"2021-09-26","JAX","ARI",19,31,"ARI","away"
"2021_03_ATL_NYG",2021,3,"2021-09-26","NYG","ATL",14,17,"ATL","away"
"2021_03_BAL_DET",2021,3,"2021-09-26","DET","BAL",17,19,"BAL","away"
"2021_03_CAR_HOU",2021,3,"2021-09-23","HOU","CAR",9,24,"CAR","away"
